"","Breed","Affectionate With Family","Good With Young Children","Good With Other Dogs","Shedding Level","Coat Grooming Frequency","Drooling Level","Coat Type","Coat Length","Openness To Strangers","Playfulness Level","Watchdog/Protective Nature","Adaptability Level","Trainability Level","Energy Level","Barking Level","Mental Stimulation Needs"
"1","Retrievers (Labrador)",5,5,5,4,2,2,"Double","Short",5,5,3,5,5,5,3,4
"2","French Bulldogs",5,5,4,3,1,3,"Smooth","Short",5,5,3,5,4,3,1,3
"3","German Shepherd Dogs",5,5,3,4,2,2,"Double","Medium",3,4,5,5,5,5,3,5
"4","Retrievers (Golden)",5,5,5,4,2,2,"Double","Medium",5,4,3,5,5,3,1,4
"5","Bulldogs",4,3,3,3,3,3,"Smooth","Short",4,4,3,3,4,3,2,3
"6","Poodles",5,5,3,1,4,1,"Curly","Long",5,5,5,4,5,4,4,5
"7","Beagles",3,5,5,3,2,1,"Smooth","Short",3,4,2,4,3,4,4,4
"8","Rottweilers",5,3,3,3,1,3,"Smooth","Short",3,4,5,4,5,3,1,5
"9","Pointers (German Shorthaired)",5,5,4,3,2,2,"Smooth","Short",4,4,4,4,5,5,3,5
"10","Dachshunds",5,3,4,2,2,2,"Smooth","Short",4,4,4,4,4,3,5,3
"11","Pembroke Welsh Corgis",5,3,4,4,2,1,"Double","Short",4,4,5,4,4,4,4,4
"12","Australian Shepherds",3,5,3,3,2,1,"Double","Medium",3,4,3,3,5,5,3,5
"13","Yorkshire Terriers",5,5,3,1,5,1,"Silky","Long",5,4,5,5,4,4,4,4
"14","Boxers",4,5,3,2,2,3,"Smooth","Short",4,4,4,3,4,4,3,4
"15","Great Danes",5,3,3,3,1,4,"Smooth","Short",3,4,5,4,3,4,3,4
"16","Siberian Huskies",5,5,5,4,2,1,"Double","Medium",5,5,1,4,3,5,5,4
"17","Cavalier King Charles Spaniels",5,5,5,2,2,2,"Wavy","Medium",4,3,3,3,4,3,3,3
"18","Doberman Pinschers",5,5,3,4,1,2,"Smooth","Short",4,4,5,4,5,5,3,4
"19","Miniature Schnauzers",5,5,3,3,4,2,"Wiry","Medium",3,4,4,5,5,3,5,4
"20","Shih Tzu",5,5,5,1,4,1,"Double","Long",3,3,3,5,4,3,3,3
"21","Boston Terriers",5,5,4,2,2,1,"Smooth","Short",5,5,3,3,4,4,2,3
"22","Bernese Mountain Dogs",5,5,5,5,3,3,"Double","Medium",4,4,3,4,4,4,3,3
"23","Pomeranians",5,3,3,2,3,1,"Double","Long",3,3,4,4,3,3,4,3
"24","Havanese",5,5,5,2,3,1,"Double","Long",5,5,3,5,4,3,4,3
"25","Cane Corso",4,3,3,2,1,3,"Smooth","Short",3,3,5,3,4,4,3,3
"26","Spaniels (English Springer)",5,3,4,3,2,3,"Double","Medium",4,4,3,4,5,4,3,4
"27","Shetland Sheepdogs",5,5,5,3,3,1,"Double","Long",2,5,5,5,5,4,5,4
"28","Brittanys",3,4,4,3,3,1,"Double","Short",3,4,3,3,5,5,3,4
"29","Pugs",5,5,4,4,2,1,"Smooth","Short",5,5,3,5,4,3,1,3
"30","Spaniels (Cocker)",4,5,5,3,4,2,"Double","Long",4,3,3,4,4,4,3,3
"31","Miniature American Shepherds",5,5,5,3,3,2,"Double","Medium",3,4,3,4,5,5,3,5
"32","Border Collies",5,3,3,3,3,1,"Double","Medium",4,5,3,5,5,5,4,5
"33","Mastiffs",5,5,3,3,1,4,"Double","Short",3,3,5,4,3,3,1,3
"34","Chihuahuas",4,1,3,2,1,1,"Smooth","Short",2,4,4,4,3,4,5,3
"35","Vizslas",5,5,4,3,2,2,"Smooth","Short",4,5,3,5,5,5,3,5
"36","Basset Hounds",3,5,5,2,3,4,"Smooth","Short",3,3,3,3,3,2,4,3
"37","Belgian Malinois",3,3,3,3,2,1,"Smooth","Short",3,3,4,3,5,4,3,4
"38","Maltese",5,3,3,1,4,1,"Silky","Long",3,3,4,4,3,3,3,3
"39","Weimaraners",5,5,3,3,2,2,"Smooth","Short",3,5,5,4,5,5,3,5
"40","Collies",4,5,3,3,3,2,"Smooth","Short",3,4,3,4,4,3,5,3
"41","Newfoundlands",5,5,5,3,2,5,"Double","Medium",5,3,5,4,3,3,1,3
"42","Rhodesian Ridgebacks",5,5,3,3,2,2,"Smooth","Short",3,3,5,4,4,3,2,4
"43","Shiba Inu",5,3,3,3,2,1,"Double","Short",3,3,5,3,2,3,3,4
"44","West Highland White Terriers",5,5,3,3,3,1,"Double","Medium",4,5,5,4,3,4,5,4
"45","Bichons Frises",5,5,5,1,5,1,"Double","Long",5,4,2,4,4,4,3,3
"46","Bloodhounds",4,3,3,3,2,5,"Smooth","Short",3,3,2,3,4,3,5,3
"47","Spaniels (English Cocker)",5,5,5,3,3,2,"Double","Medium",4,3,3,4,4,3,3,4
"48","Akitas",3,3,1,3,3,1,"Double","Medium",2,3,5,3,3,4,2,3
"49","Portuguese Water Dogs",5,5,4,2,4,2,"Curly","Long",4,5,4,5,5,5,3,5
"50","Retrievers (Chesapeake Bay)",4,3,3,3,3,2,"Wiry","Medium",3,3,4,4,5,4,3,4
"51","Dalmatians",5,3,3,4,2,2,"Smooth","Short",4,4,4,4,4,4,3,4
"52","St. Bernards",5,5,3,3,2,5,"Smooth","Short",3,3,5,4,3,3,1,3
"53","Papillons",5,5,3,3,2,1,"Silky","Medium",5,5,4,5,5,4,5,5
"54","Australian Cattle Dogs",3,3,3,3,1,1,"Smooth","Short",3,3,4,3,4,5,1,4
"55","Bullmastiffs",4,3,3,3,1,3,"Smooth","Short",3,3,5,3,4,4,1,4
"56","Samoyeds",5,5,3,3,3,1,"Double","Long",5,5,4,4,4,4,5,4
"57","Scottish Terriers",5,3,2,2,3,2,"Wiry","Medium",3,4,5,4,3,3,4,4
"58","Soft Coated Wheaten Terriers",5,5,3,1,4,2,"Wavy","Medium",3,3,3,3,3,4,3,3
"59","Whippets",5,5,5,2,1,1,"Smooth","Short",3,4,3,3,3,4,1,4
"60","Pointers (German Wirehaired)",5,3,3,2,2,2,"Wiry","Medium",4,4,3,4,5,5,3,4
"61","Chinese Shar-Pei",4,3,3,3,1,3,"Smooth","Short",3,3,4,4,3,3,3,3
"62","Airedale Terriers",3,3,3,1,3,1,"Wiry","Short",3,3,5,3,3,3,3,3
"63","Wirehaired Pointing Griffons",5,5,3,3,2,3,"Wiry","Medium",5,4,3,4,5,5,3,5
"64","Bull Terriers",4,3,1,3,2,1,"Smooth","Short",4,4,3,3,3,4,3,4
"65","Alaskan Malamutes",3,3,3,3,3,1,"Double","Medium",3,3,4,3,5,4,3,3
"66","Cardigan Welsh Corgis",4,4,3,3,2,1,"Double","Medium",4,4,3,3,4,4,5,4
"67","Giant Schnauzers",5,3,3,3,4,2,"Wiry","Medium",3,4,5,4,5,5,3,4
"68","Old English Sheepdogs",5,5,3,3,4,3,"Double","Long",3,4,4,4,4,3,3,4
"69","Italian Greyhounds",5,3,5,3,1,1,"Smooth","Short",5,4,3,4,4,3,3,3
"70","Great Pyrenees",5,3,3,3,2,3,"Double","Medium",3,3,5,3,3,3,3,3
"71","Dogues de Bordeaux",5,3,3,4,1,5,"Smooth","Short",3,3,5,4,4,3,3,4
"72","Russell Terriers",5,3,5,3,2,1,"Wiry","Short",5,5,4,4,3,5,4,5
"73","Cairn Terriers",4,3,3,2,2,1,"Wiry","Medium",3,4,4,3,3,3,4,3
"74","Irish Wolfhounds",5,3,4,3,2,2,"Wiry","Medium",3,3,5,3,3,3,1,3
"75","Setters (Irish)",5,5,5,3,3,2,"Silky","Medium",5,5,3,4,4,5,3,4
"76","Greater Swiss Mountain Dogs",5,5,3,3,2,3,"Smooth","Short",5,4,4,3,4,4,3,4
"77","Miniature Pinschers",5,3,4,3,1,1,"Smooth","Short",3,4,5,4,3,5,5,5
"78","Lhasa Apsos",5,3,3,1,3,1,"Silky","Long",3,3,5,5,3,3,3,3
"79","Chinese Crested",4,3,3,1,2,1,"Hairless","Short",4,3,3,4,4,3,3,3
"80","Coton de Tulear",5,5,5,2,4,1,"Double","Long",5,4,3,4,4,3,1,3
"81","Staffordshire Bull Terriers",5,5,3,2,2,3,"Smooth","Short",4,4,5,5,5,4,3,4
"82","American Staffordshire Terriers",5,3,3,2,1,1,"Smooth","Short",4,3,5,3,3,3,3,3
"83","Rat Terriers",5,5,3,3,2,1,"Smooth","Short",5,5,4,4,5,4,3,5
"84","Chow Chows",4,3,2,3,3,3,"Smooth","Medium",2,3,5,3,3,3,1,3
"85","Anatolian Shepherd Dogs",1,3,3,3,2,1,"Smooth","Short",1,3,5,3,2,3,3,3
"86","Basenjis",3,3,3,2,1,1,"Smooth","Short",3,3,3,3,2,4,1,4
"87","Spaniels (Boykin)",3,5,5,3,3,1,"Double","Medium",3,4,3,4,4,4,3,3
"88","Lagotti Romagnoli",5,3,5,1,2,2,"Double","Medium",4,4,3,4,4,4,2,4
"89","Brussels Griffons",4,3,3,3,3,1,"Wiry","Short",4,4,3,4,4,3,4,3
"90","Retrievers (Nova Scotia Duck Tolling)",5,5,4,3,2,2,"Double","Medium",3,5,3,4,5,5,2,4
"91","Norwegian Elkhounds",5,3,3,3,2,2,"Double","Medium",4,4,5,4,4,4,4,4
"92","Standard Schnauzers",5,5,3,1,3,3,"Wiry","Medium",3,4,5,4,5,3,3,5
"93","Dogo Argentinos",5,3,3,4,1,3,"Smooth","Short",4,4,5,4,5,5,3,4
"94","Bouviers des Flandres",3,3,3,3,4,2,"Rough","Medium",3,3,4,3,4,4,3,3
"95","Pekingese",5,3,3,3,3,1,"Double","Long",3,4,4,4,3,3,1,3
"96","Keeshonden",5,5,5,3,3,2,"Double","Long",5,5,5,5,5,4,4,4
"97","Border Terriers",4,5,3,2,2,1,"Wiry","Short",4,4,3,4,4,3,3,3
"98","Leonbergers",5,5,3,4,4,3,"Double","Long",5,3,4,4,5,3,3,4
"99","Tibetan Terriers",5,3,3,3,3,2,"Double","Long",3,3,4,4,3,4,3,4
"100","Neapolitan Mastiffs",3,3,3,3,2,5,"Smooth","Short",3,2,5,3,3,2,1,3
"101","Setters (English)",5,4,4,3,3,3,"Double","Medium",4,4,3,4,4,3,3,4
"102","Retrievers (Flat-Coated)",5,5,5,3,2,2,"Smooth","Medium",5,5,3,5,5,5,3,4
"103","Borzois",3,3,3,3,2,1,"Curly","Medium",3,3,3,3,2,4,2,4
"104","Fox Terriers (Wire)",5,5,3,2,3,2,"Wiry","Medium",5,4,4,4,4,4,4,4
"105","Miniature Bull Terriers",5,3,3,2,1,2,"Smooth","Short",3,4,4,4,3,4,5,4
"106","Belgian Tervuren",3,3,3,3,2,1,"Double","Medium",3,3,4,3,5,4,3,4
"107","Setters (Gordon)",5,3,3,3,2,4,"Double","Medium",3,3,4,4,5,5,3,4
"108","Silky Terriers",5,3,3,2,3,1,"Silky","Long",4,4,5,4,4,3,4,3
"109","Norwich Terriers",5,5,3,3,2,1,"Wiry","Short",5,4,4,4,3,4,4,4
"110","Spinoni Italiani",5,3,4,3,2,3,"Wiry","Medium",3,3,3,3,4,3,2,3
"111","Japanese Chin",5,3,5,3,2,1,"Silky","Medium",3,3,3,4,3,3,2,3
"112","Welsh Terriers",5,5,3,2,3,2,"Wiry","Medium",5,4,4,4,4,4,4,4
"113","Toy Fox Terriers",5,3,3,3,2,1,"Smooth","Short",5,4,5,4,5,4,4,4
"114","Schipperkes",5,3,3,3,2,1,"Double","Short",3,4,5,4,4,3,4,3
"115","Parson Russell Terriers",5,3,5,2,2,1,"Smooth","Short",3,4,3,4,4,5,3,4
"116","Pointers",5,3,5,3,2,2,"Smooth","Short",4,4,3,4,5,4,3,4
"117","Belgian Sheepdogs",3,3,3,3,2,1,"Double","Medium",3,3,4,3,5,4,3,4
"118","Tibetan Spaniels",5,5,3,3,2,2,"Double","Medium",4,4,4,4,3,3,3,3
"119","American Eskimo Dogs",5,5,3,3,3,1,"Double","Medium",5,3,3,4,4,4,3,3
"120","Irish Terriers",5,5,1,2,1,1,"Wiry","Medium",3,3,5,4,3,3,3,4
"121","Beaucerons",3,3,3,4,3,1,"Smooth","Short",2,3,4,3,3,5,3,3
"122","Afghan Hounds",3,3,3,1,4,1,"Silky","Long",3,3,3,3,1,4,3,3
"123","Boerboels",5,4,2,3,2,3,"Smooth","Short",3,3,5,3,4,3,3,4
"124","Fox Terriers (Smooth)",5,3,3,3,2,1,"Smooth","Short",3,4,5,4,3,4,5,3
"125","Bearded Collies",4,5,5,3,4,1,"Silky","Long",4,4,3,4,3,4,5,3
"126","Black Russian Terriers",3,3,3,3,4,3,"Double","Medium",2,3,5,4,4,4,3,4
"127","Black and Tan Coonhounds",4,5,5,3,2,3,"Smooth","Short",3,3,2,4,3,3,4,3
"128","Spaniels (Welsh Springer)",5,5,4,3,2,2,"Double","Medium",1,3,3,4,5,4,3,4
"129","American Hairless Terriers",5,5,3,1,1,1,"Hairless","Short",3,3,3,5,5,3,3,3
"130","Norfolk Terriers",5,5,3,3,2,1,"Wiry","Short",5,4,4,4,3,4,4,4
"131","Xoloitzcuintli",5,3,3,1,1,1,"Hairless","Short",3,4,3,4,4,4,3,4
"132","Manchester Terriers",5,4,3,2,2,1,"Smooth","Short",3,4,4,4,4,4,4,3
"133","Kerry Blue Terriers",5,4,2,1,3,2,"Wavy","Medium",3,3,5,3,3,4,4,4
"134","Australian Terriers",3,5,3,1,2,1,"Wiry","Short",3,4,4,3,4,4,5,4
"135","Spaniels (Clumber)",4,3,3,3,2,4,"Wavy","Medium",4,3,3,4,4,3,1,3
"136","Lakeland Terriers",5,3,3,2,2,1,"Wiry","Short",3,4,3,4,3,3,3,4
"137","Bluetick Coonhounds",3,3,5,3,2,2,"Smooth","Short",3,3,2,3,4,4,4,3
"138","English Toy Spaniels",5,5,5,3,3,2,"Double","Medium",3,4,3,4,3,3,2,3
"139","German Pinschers",5,3,3,3,1,1,"Smooth","Short",3,4,4,3,5,5,3,4
"140","Tibetan Mastiffs",4,3,3,4,3,3,"Double","Medium",1,3,5,3,3,3,3,4
"141","Bedlington Terriers",3,3,3,1,3,1,"Curly","Medium",3,3,4,3,3,4,3,3
"142","Greyhounds",4,3,4,2,1,1,"Smooth","Short",3,3,3,4,3,4,3,3
"143","Pulik",5,3,3,1,5,2,"Corded","Long",3,3,5,4,5,3,3,5
"144","Salukis",5,3,3,2,1,1,"Smooth","Short",3,3,1,3,3,4,3,5
"145","Barbets",4,5,5,1,3,1,"Curly","Medium",3,3,3,3,4,3,3,3
"146","Redbone Coonhounds",5,5,5,3,2,3,"Smooth","Short",3,3,3,4,3,3,4,4
"147","Swedish Vallhunds",5,5,3,4,2,2,"Double","Short",3,4,3,4,4,4,3,4
"148","Sealyham Terriers",5,3,3,3,3,1,"Wiry","Medium",4,3,5,4,4,3,4,4
"149","Spanish Water Dogs",5,4,3,1,4,2,"Corded","Medium",3,4,3,3,4,4,3,5
"150","Briards",3,3,3,1,4,2,"Double","Long",3,3,4,3,3,3,1,3
"151","Berger Picards",3,3,3,3,1,1,"Wiry","Medium",3,3,4,3,4,4,2,4
"152","Entlebucher Mountain Dogs",5,3,5,3,1,2,"Smooth","Short",3,3,5,4,3,5,3,4
"153","Treeing Walker Coonhounds",5,5,5,3,1,3,"Smooth","Short",3,4,3,4,5,5,4,5
"154","Icelandic Sheepdogs",5,5,4,3,2,2,"Double","Medium",3,3,4,4,5,4,4,5
"155","Wirehaired Vizslas",5,5,3,3,1,2,"Wiry","Short",5,5,3,4,5,5,3,5
"156","Pumik",5,3,3,1,2,2,"Curly","Medium",3,4,4,4,5,5,3,5
"157","Portuguese Podengo Pequenos",5,5,5,3,2,1,"Wiry","Medium",3,4,3,4,3,4,3,4
"158","Spaniels (American Water)",3,3,3,1,3,1,"Double","Medium",3,3,3,3,5,3,3,3
"159","Retrievers (Curly-Coated)",5,5,3,2,1,1,"Double","Short",3,4,4,4,4,4,3,3
"160","Spaniels (Field)",5,5,4,3,2,2,"Smooth","Medium",4,3,3,4,5,3,3,3
"161","Lowchen",5,5,3,2,2,1,"Wavy","Long",3,4,4,4,4,3,3,3
"162","Nederlandse Kooikerhondjes",5,3,3,3,2,2,"Double","Medium",4,3,3,4,5,4,3,4
"163","Affenpinschers",3,3,3,3,3,1,"Wiry","Short",5,3,3,4,3,3,3,3
"164","Petits Bassets Griffons Vendeens",4,5,5,2,2,2,"Rough","Long",4,4,4,4,3,4,5,4
"165","Finnish Lapphunds",5,4,3,4,2,2,"Double","Medium",4,3,3,4,4,3,5,3
"166","Scottish Deerhounds",5,3,5,3,1,1,"Wiry","Medium",3,3,3,3,3,3,1,3
"167","Plott Hounds",0,0,0,0,0,0,"Plott Hounds","Plott Hounds",0,0,0,0,0,0,0,0
"168","Norwegian Buhunds",5,3,3,3,2,1,"Double","Medium",3,3,4,4,3,4,4,4
"169","Glen of Imaal Terriers",5,3,3,2,3,2,"Wiry","Medium",3,3,3,4,3,3,2,3
"170","Setters (Irish Red and White)",5,5,5,2,2,2,"Double","Medium",5,3,3,5,5,5,3,3
"171","Ibizan Hounds",5,3,5,2,1,1,"Wiry","Short",3,4,3,4,3,5,3,5
"172","Spaniels (Sussex)",5,3,3,3,3,3,"Double","Medium",3,4,3,4,4,3,3,3
"173","Bergamasco Sheepdogs",3,3,3,1,1,2,"Corded","Long",3,3,4,3,3,3,1,3
"174","Spaniels (Irish Water)",5,3,3,1,3,2,"Curly","Medium",3,5,3,4,5,3,1,4
"175","Polish Lowland Sheepdogs",5,3,3,2,4,2,"Double","Long",3,4,5,5,4,3,4,4
"176","Otterhounds",5,3,3,2,2,3,"Rough","Medium",4,3,3,4,4,3,5,3
"177","Kuvaszok",5,3,3,3,2,2,"Double","Medium",3,3,5,4,5,3,3,3
"178","Komondorok",5,3,2,1,4,2,"Corded","Long",3,3,5,3,4,3,3,3
"179","Cirnechi dell’Etna",4,3,4,1,1,1,"Smooth","Short",3,4,3,4,4,3,2,3
"180","Pharaoh Hounds",5,3,5,3,2,1,"Smooth","Short",3,3,3,3,4,4,3,4
"181","Dandie Dinmont Terriers",4,3,3,2,3,1,"Double","Medium",4,3,4,3,4,3,3,3
"182","Pyrenean Shepherds",5,3,3,3,2,2,"Smooth","Medium",3,5,5,4,5,5,4,5
"183","Skye Terriers",5,3,3,3,3,1,"Double","Long",3,3,3,3,3,3,3,3
"184","Canaan Dogs",3,3,3,4,2,1,"Smooth","Short",3,3,4,3,4,3,5,3
"185","American English Coonhounds",3,3,5,2,1,1,"Smooth","Short",3,3,3,3,3,4,4,3
"186","Chinooks",4,5,5,3,3,1,"Smooth","Medium",3,3,4,4,4,3,5,3
"187","Finnish Spitz",5,5,4,3,2,2,"Double","Medium",3,3,3,4,3,5,5,4
"188","Grand Basset Griffon Vendeens",5,3,4,3,2,2,"Wiry","Medium",5,4,3,4,3,5,4,4
"189","Sloughis",4,3,3,3,1,1,"Smooth","Short",2,3,2,3,3,4,2,3
"190","Harriers",5,5,5,3,1,2,"Double","Short",4,4,3,4,4,4,5,4
"191","Cesky Terriers",4,5,3,2,2,1,"Wavy","Medium",4,3,3,4,3,3,3,3
"192","American Foxhounds",3,5,5,3,1,1,"Smooth","Short",3,3,3,3,3,4,5,3
"193","Azawakhs",3,3,3,2,2,1,"Smooth","Short",1,3,3,3,2,3,1,3
"194","English Foxhounds",5,5,5,3,1,2,"Double","Short",4,4,3,4,4,4,5,4
"195","Norwegian Lundehunds",3,3,3,3,2,1,"Double","Short",3,3,3,3,3,3,3,3
